159 BCL2A1 CYCS 628.0
160 BCL2A1 TNF 677.0
161 BMP2 DCN 517.0
162 BMP2 TGFB1 432.0
163 BMP2 SOX9 870.0
164 BMP2 IL1A 482.0
165 BMP2 IL1B 595.0
166 BMP2 STAT3 443.0
167 BMP2 PPARG 529.0
168 BMP2 COL1A2 552.0
169 BMP2 IGF1 874.0
170 BMP2 COL3A1 476.0
171 BMP2 COL10A1 519.0
172 BMP2 SMOC1 461.0
173 BMP2 JUN 514.0
174 BMP2 COL5A1 411.0
175 BMP2 RHOA 438.0
176 BMP2 IL6 571.0
177 BMP2 TNF 609.0
178 BMP2 GPC3 669.0
179 BMP2 CXCL12 695.0
180 BMP2 SPP1 835.0
181 BNIP3L MUL1 549.0
182 BNIP3L PPARGC1A 508.0
183 BNIP3L SMCO4 461.0
184 BNIP3L CYCS 465.0
185 BNIP3L OPTN 672.0
186 BOLA2 BPTF 400.0
187 BOLA2 KRTCAP3 406.0
188 BOLA2 UBR4 470.0
189 BPTF TFAP4 847.0
190 BPTF SIRT1 574.0
191 BPTF NCOR1 901.0
192 BPTF BUB1 697.0
193 BPTF PLD1 405.0
194 BPTF UHRF1 409.0
195 BPTF MORF4L2 420.0
196 BPTF WSB2 444.0
197 BPTF RAN 455.0
198 BPTF IGFALS 474.0
199 BPTF UBE2Z 477.0
200 BPTF HDAC8 479.0
201 BPTF SCAF1 483.0
202 BPTF H2AFY 518.0
203 BPTF ING5 561.0
204 BPTF MED13 640.0
205 BPTF TOP2A 654.0
206 BPTF HFE 685.0
207 BPTF RAD54L2 738.0
208 BPTF CHD2 802.0
209 BPTF SHPRH 875.0
210 BPTF HELLS 953.0
211 BPTF HIST1H3A 955.0
212 BPTF PPA1 959.0
213 BSG MAPK1 904.0
214 BSG TGFB1 421.0
215 BSG RAP2A 709.0
216 BSG LGALS3 923.0
217 BSG LYVE1 888.0
218 BSG EPCAM 424.0
219 BSG TSPAN3 595.0
220 BSG PPIC 526.0
221 BSG SLC16A10 400.0
222 BSG NRAS 462.0
223 BSG HTR2A 538.0
224 BSG ITGA6 707.0
225 BSG SLC2A1 717.0
226 BUB1 HSPB11 426.0
227 BUB1 OIP5 922.0
228 BUB1 RAD51AP1 869.0
229 BUB1 MND1 874.0
230 BUB1 TUBG1 402.0
231 BUB1 MCM4 977.0
232 BUB1 E2F3 428.0
233 BUB1 KIF18A 913.0
